Time,control,height
0.938,0,1.533576
0.939,0,1.5348
0.94,0,1.536024
0.941,0,1.537247
0.942,0,1.538469
0.943,0,1.53969
0.944,0,1.54091
0.945,0,1.542129
0.946,0,1.543348
0.947,0,1.544565
0.948,0,1.545782
0.949,0,1.546997
0.95,0,1.548212
0.951,0,1.549425
0.952,0,1.550637
0.953,0,1.551849
0.954,0,1.553059
0.955,0,1.554268
0.956,0,1.555476
0.957,0,1.556683
0.958,0,1.557888
0.959,0,1.559093
0.96,0,1.560296
0.961,0,1.561498
0.962,0,1.562699
0.963,0,1.563898
0.964,0,1.565096
0.965,0,1.566293
0.966,0,1.567488
0.967,0,1.568682
0.968,0,1.569875
0.969,0,1.571066
0.97,0,1.572255
0.971,0,1.573444
0.972,0,1.57463
0.973,0,1.575816
0.974,0,1.576999
0.975,0,1.578181
0.976,0,1.579362
0.977,0,1.580541
0.978,0,1.581718
0.979,0,1.582894
0.98,0,1.584068
0.981,0,1.585241
0.982,0,1.586411
0.983,0,1.58758
0.984,0,1.588748
0.985,0,1.589913
0.986,0,1.591077
0.987,0,1.592239
0.988,0,1.593399
0.989,0,1.594558
0.99,0,1.595714
0.991,0,1.596869
0.992,0,1.598021
0.993,0,1.599172
0.994,0,1.600321
0.995,0,1.601468
0.996,0,1.602613
0.997,0,1.603756
0.998,0,1.604897
0.999,0,1.606036
1,0,1.607173
1.001,0,1.608308
1.002,0,1.60944
1.003,0,1.610571
1.004,0,1.6117
1.005,0,1.612826
1.006,0,1.61395
1.007,0,1.615072
1.008,0,1.616192
1.009,0,1.61731
1.01,0,1.618425
1.011,0,1.619539
1.012,0,1.62065
1.013,0,1.621758
1.014,0,1.622865
1.015,0,1.623969
1.016,0,1.62507
1.017,0,1.62617
1.018,0,1.627267
1.019,0,1.628361
1.02,0,1.629453
1.021,0,1.630543
1.022,0,1.631631
1.023,0,1.632715
1.024,0,1.633798
1.025,0,1.634878
1.026,0,1.635955
1.027,0,1.63703
1.028,0,1.638102
1.029,0,1.639172
1.03,0,1.640239
1.031,0,1.641304
1.032,0,1.642366
1.033,0,1.643425
1.034,0,1.644482
1.035,0,1.645536
1.036,0,1.646588
1.037,0,1.647636
1.038,0,1.648682
1.039,0,1.649726
1.04,0,1.650766
1.041,0,1.651804
1.042,0,1.652839
1.043,0,1.653871
1.044,0,1.654901
1.045,0,1.655928
1.046,0,1.656952
1.047,0,1.657973
1.048,0,1.658991
1.049,0,1.660006
1.05,0,1.661018
1.051,0,1.662028
1.052,0,1.663034
1.053,0,1.664038
1.054,0,1.665039
1.055,0,1.666037
1.056,0,1.667031
1.057,0,1.668023
1.058,0,1.669012
1.059,0,1.669998
1.06,0,1.67098
1.061,0,1.67196
1.062,0,1.672937
1.063,0,1.67391
1.064,0,1.674881
1.065,0,1.675848
1.066,0,1.676812
1.067,0,1.677774
1.068,0,1.678732
1.069,0,1.679686
1.07,0,1.680638
1.071,0,1.681587
1.072,0,1.682532
1.073,0,1.683474
1.074,0,1.684413
1.075,0,1.685349
1.076,0,1.686281
1.077,0,1.68721
1.078,0,1.688136
1.079,0,1.689059
1.08,0,1.689978
1.081,0,1.690894
1.082,0,1.691807
1.083,0,1.692716
1.084,0,1.693623
1.085,0,1.694525
1.086,0,1.695425
1.087,0,1.696321
1.088,0,1.697213
1.089,0,1.698102
1.09,0,1.698988
1.091,0,1.699871
1.092,0,1.70075
1.093,0,1.701625
1.094,0,1.702497
1.095,0,1.703366
1.096,0,1.704231
1.097,0,1.705093
1.098,0,1.705951
1.099,0,1.706805
1.1,0,1.707656
1.101,0,1.708504
1.102,0,1.709348
1.103,0,1.710189
1.104,0,1.711026
1.105,0,1.711859
1.106,0,1.712689
1.107,0,1.713515
1.108,0,1.714338
1.109,0,1.715157
1.11,0,1.715972
1.111,0,1.716784
1.112,0,1.717592
1.113,0,1.718397
1.114,0,1.719197
1.115,0,1.719995
1.116,0,1.720788
1.117,0,1.721578
1.118,0,1.722364
1.119,0,1.723147
1.12,0,1.723925
1.121,0,1.724701
1.122,0,1.725472
1.123,0,1.726239
1.124,0,1.727003
1.125,0,1.727763
1.126,0,1.72852
1.127,0,1.729272
1.128,0,1.730021
1.129,0,1.730766
1.13,0,1.731508
1.131,0,1.732245
1.132,0,1.732979
1.133,0,1.733708
1.134,0,1.734435
1.135,0,1.735157
1.136,0,1.735875
1.137,0,1.73659
1.138,0,1.7373
1.139,0,1.738007
1.14,0,1.73871
1.141,0,1.739409
1.142,0,1.740105
1.143,0,1.740796
1.144,0,1.741483
1.145,0,1.742167
1.146,0,1.742847
1.147,0,1.743523
1.148,0,1.744194
1.149,0,1.744862
1.15,0,1.745526
1.151,0,1.746187
1.152,0,1.746843
